codigo_municipio;codigo_recurso
5001;1
5001;2
5001;3
5001;4
5001;5
5001;6
5002;1
5004;5
5004;6
5030;7
5030;1
5030;2
5031;8
5031;1
5031;9
5031;5
5031;6
5034;5
5034;6
5036;7
5036;10
5040;5
5040;6
5040;11
5042;2
5042;4
5042;5
5042;6
5044;5
5044;6
5045;1
5055;5
5055;6
5079;2
5079;5
5079;6
5086;5
5086;6
5088;2
5088;4
5088;5
5088;6
5107;2
5107;4
5107;5
5107;6
5113;12
5113;2
5113;3
5113;5
5113;6
5120;2
5120;13
5120;4
5120;5
5120;6
5129;2
5138;5
5138;6
5142;5
5142;6
5154;2
5154;4
5154;5
5154;6
5154;11
5172;2
5172;4
5190;2
5190;4
5190;5
5190;6
5197;4
5234;14
5234;2
5234;4
5234;5
5234;6
5234;11
5237;2
5237;4
5237;5
5237;6
5240;5
5240;6
5250;5
5250;6
5250;11
5266;3
5266;4
5282;2
5282;4
5284;2
5284;4
5284;5
5284;6
5308;2
5308;4
5308;5
5308;6
5310;2
5310;4
5310;5
5310;6
5347;10
5360;1
5376;2
5376;3
5376;4
5390;2
5390;4
5390;5
5390;6
5400;1
5400;2
5400;3
5400;4
5425;5
5467;15
5480;2
5480;4
5480;5
5480;6
5495;5
5495;6
5579;5
5579;6
5585;8
5585;2
5585;3
5585;5
5585;6
5591;8
5591;1
5591;2
5591;9
5604;16
5604;17
5604;5
5604;6
5607;3
5607;4
5615;2
5615;4
5642;2
5642;4
5649;8
5660;8
5660;9
5667;5
5667;6
5670;5
5670;6
5679;14
5686;5
5686;6
5690;2
5690;4
5690;5
5690;6
5736;5
5736;6
5756;8
5761;7
5761;2
5761;4
5790;13
5790;5
5790;6
5792;2
5792;4
5809;7
5809;2
5809;4
5819;10
5819;2
5819;4
5842;2
5842;4
5854;2
5854;3
5854;4
5856;1
5858;5
5858;6
5861;7
5861;1
5861;2
5861;4
5885;4
5885;5
5885;6
5887;15
5890;2
5890;4
5890;5
5890;6
5895;4
5895;5
5895;6
8001;1
8372;3
8421;8
8421;2
8421;3
8421;4
8436;3
8573;8
8573;2
8606;2
8606;3
8606;4
8638;3
8832;1
8832;3
11001;1
11001;2
13001;1
13001;2
13001;4
13006;5
13006;6
13042;5
13042;6
13062;2
13074;5
13074;6
13212;5
13212;6
13222;2
13222;4
13300;5
13300;6
13430;5
13430;6
13440;5
13440;6
13458;5
13458;6
13473;5
13473;6
13490;5
13490;6
13600;5
13600;6
13655;5
13655;6
13657;8
13667;5
13667;6
13673;2
13673;4
13688;5
13744;5
13836;8
13836;1
13836;3
15001;7
15001;2
15092;7
15092;8
15097;7
15104;7
15114;8
15180;7
15183;7
15187;7
15187;1
15215;7
15215;8
15224;3
15224;4
15232;4
15238;8
15238;3
15272;8
15296;7
15322;2
15322;4
15325;18
15325;2
15325;4
15362;7
15362;19
15368;7
15403;7
15407;8
15442;20
15464;7
15466;7
15469;8
15476;7
15480;20
15491;8
15500;1
15516;7
15516;19
15516;2
15516;3
15516;4
15531;4
15531;20
15537;7
15537;18
15542;8
15542;1
15572;2
15572;3
15572;4
15580;20
15600;7
15621;8
15632;7
15638;1
15646;7
15646;3
15646;4
15673;7
15681;20
15693;8
15693;2
15720;7
15723;7
15755;7
15757;7
15759;7
15759;1
15759;2
15762;4
15790;7
15806;8
15820;7
15837;7
15842;7
17001;1
17001;2
17001;13
17001;3
17001;4
17001;5
17001;6
17013;2
17013;4
17042;5
17088;2
17088;4
17174;5
17174;6
17272;2
17272;4
17380;2
17380;4
17380;5
17380;6
17388;10
17388;15
17442;5
17442;6
17486;2
17486;4
17524;5
17524;6
17541;5
17541;6
17614;5
17614;6
17777;1
17777;5
17777;6
17867;8
17867;5
17867;6
17877;2
17877;4
18001;2
18001;4
18247;2
18247;4
18592;2
18592;4
19001;1
19001;13
19001;5
19001;6
19110;7
19110;2
19110;4
19110;5
19110;6
19142;3
19142;4
19212;21
19256;5
19256;6
19300;1
19300;4
19318;5
19318;6
19392;5
19392;6
19418;5
19418;6
19450;2
19450;4
19532;2
19532;4
19533;2
19533;4
19573;2
19622;5
19622;6
19698;1
19698;2
19701;5
19701;6
19809;5
19809;6
19845;1
19845;2
19845;4
20001;8
20001;18
20001;9
20001;2
20032;3
20045;7
20060;8
20060;21
20060;3
20178;7
20238;3
20238;4
20250;7
20295;2
20295;4
20383;2
20383;4
20400;7
20443;8
20770;2
20770;4
23001;8
23001;21
23001;13
23001;3
23068;5
23068;6
23068;11
23189;3
23350;1
23466;7
23466;22
23466;13
23555;22
23555;2
23555;13
23580;7
23580;22
23580;13
23580;5
23580;6
23586;8
23678;2
23682;22
23682;13
23682;5
23682;6
23807;2
23807;4
23855;2
23855;4
25099;2
25099;3
25099;4
25126;3
25126;4
25148;7
25151;2
25151;4
25154;2
25154;4
25175;3
25178;2
25178;3
25178;4
25183;2
25183;4
25200;7
25200;1
25224;7
25260;4
25281;2
25281;4
25293;20
25307;1
25317;7
25320;2
25320;4
25335;4
25368;2
25368;4
25402;3
25407;7
25407;1
25407;3
25436;4
25473;1
25473;3
25473;4
25483;2
25483;4
25486;1
25488;4
25513;7
25530;2
25530;4
25592;2
25592;4
25594;2
25594;4
25599;3
25612;2
25612;4
25658;2
25658;3
25736;23
25745;1
25754;1
25754;2
25754;3
25754;4
25758;3
25781;7
25781;3
25785;3
25785;4
25793;7
25793;1
25807;4
25817;2
25839;18
25839;20
25845;2
25845;3
25845;4
25873;7
25875;2
25875;4
25899;7
25899;2
27001;2
27001;5
27001;6
27001;11
27050;2
27050;5
27050;6
27050;11
27073;5
27073;6
27073;11
27135;5
27135;6
27135;11
27160;5
27160;6
27160;11
27205;5
27205;6
27205;11
27361;5
27361;6
27361;11
27413;5
27413;6
27413;11
27425;5
27450;5
27450;6
27450;11
27491;5
27491;6
27491;11
27580;5
27580;6
27580;11
27600;5
27600;6
27600;11
27745;5
27745;6
27745;11
27787;2
27787;4
27787;5
27787;6
27787;11
27810;2
27810;4
27810;5
27810;6
27810;11
41001;2
41001;4
41001;5
41001;6
41016;1
41132;1
41132;2
41132;4
41132;5
41132;6
41298;5
41298;6
41357;5
41357;6
41518;2
41518;4
41524;8
41524;9
41524;2
41524;4
41524;21
41524;5
41524;6
41615;2
41615;4
41615;5
41615;6
41676;8
41676;21
41797;2
41797;4
41799;2
41799;4
41801;21
44001;3
44001;4
44035;7
44035;8
44035;2
44035;3
44035;4
44078;7
44078;2
44078;4
44090;2
44090;4
44378;7
44378;2
44378;3
44378;4
44430;2
44430;4
44847;24
47001;1
47001;2
47001;3
47001;4
47189;8
47189;3
50001;2
50001;4
50006;1
50006;2
50006;4
50223;5
50223;6
50226;1
50226;2
50226;4
50251;2
50251;4
50270;8
50270;9
50287;4
50313;2
50313;4
50318;2
50318;4
50568;2
50568;4
50573;2
50573;4
50606;2
50606;4
50680;2
50680;4
50689;2
50689;4
52001;1
52079;5
52079;6
52287;4
52354;4
52621;5
52621;6
52696;5
52696;6
52835;2
52835;4
54001;7
54001;1
54001;4
54051;7
54099;7
54109;25
54172;7
54174;7
54239;7
54261;7
54261;4
54347;7
54377;7
54405;7
54405;8
54405;1
54518;7
54520;7
54660;7
54673;7
54673;4
54680;7
54720;7
54720;8
54810;7
54820;7
54874;1
54874;4
63130;2
63130;4
63401;2
63401;4
66001;3
66001;4
66075;2
66075;4
66400;2
66400;3
66400;4
66456;5
66456;6
66594;1
66594;5
66594;6
66687;2
66687;4
68001;4
68020;7
68051;2
68051;4
68079;8
68081;1
68081;2
68081;4
68121;4
68132;5
68132;6
68147;7
68160;2
68160;4
68229;8
68266;7
68307;1
68385;7
68418;24
68418;2
68418;4
68500;8
68500;1
68522;4
68547;2
68547;4
68549;8
68615;5
68655;2
68655;4
68679;1
68686;7
68755;8
68755;4
68773;26
68861;7
68867;5
68867;6
68872;24
68895;24
70204;3
70771;5
70771;6
70823;8
70823;1
70823;3
73001;25
73001;2
73001;4
73001;5
73001;6
73030;1
73043;5
73067;5
73148;2
73148;4
73168;5
73168;6
73200;1
73200;2
73200;4
73217;5
73217;6
73268;2
73268;4
73270;5
73270;6
73275;2
73275;4
73319;2
73319;4
73408;5
73408;6
73411;5
73411;6
73443;5
73443;6
73449;2
73449;4
73504;2
73504;4
73504;5
73504;6
73671;2
73671;4
73678;8
73678;2
73678;4
73678;21
73770;2
73770;4
73854;1
73854;9
73861;5
73861;6
76001;7
76001;2
76001;13
76001;3
76041;1
76041;2
76041;4
76113;1
76122;1
76122;2
76122;4
76147;1
76243;4
76275;3
76364;7
76364;2
76364;4
76364;5
76403;2
76403;4
76520;2
76520;3
76616;1
76616;4
76622;1
76622;2
76834;3
76869;8
76892;8
76892;2
76892;9
76892;13
76892;3
76895;2
76895;3
81001;1
81736;4
85001;1
85001;4
85010;4
85225;4
85410;4
86001;4
86571;2
86571;4
86757;4
94001;1
94001;5
94001;6
95001;2
95001;4
